0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,7,4,6,10,8,1,12,15,11,5,2,9,3,14,13
1,12,6,10,5,7,0,15,8,11,4,2,9,3,14,13
2,9,11,15,3,5,12,8,6,1,7,0,10,4,14,13
3,9,2,11,5,15,12,1,6,8,14,7,10,13,0,4
4,0,7,8,6,10,15,1,12,11,5,2,9,3,14,13
5,12,1,11,6,15,2,9,8,10,7,3,0,4,14,13
6,1,12,7,10,0,8,5,15,11,4,2,9,3,14,13
7,0,10,6,1,4,8,12,15,5,11,2,9,3,14,13
8,15,6,0,11,7,12,4,1,10,5,2,9,3,14,13
9,3,2,11,5,15,12,1,6,8,7,10,0,4,14,13
10,7,6,1,0,12,4,8,5,15,11,2,9,3,14,13
11,15,2,5,12,8,9,6,1,3,7,0,10,4,14,13
12,5,1,6,15,11,7,10,8,0,2,9,4,3,14,13
13,14,3,9,2,5,11,12,15,1,6,8,10,7,0,4
14,13,3,9,2,5,11,12,15,1,6,8,10,7,0,4
15,11,8,12,6,2,5,1,7,0,9,10,4,3,14,13
